,index,variable,value,iter
11,pm1,Factor 1,0.6826225116013697,18
12,pm25,Factor 1,0.6738221869238784,18
13,pm10,Factor 1,0.6709632617256215,18
14,co2,Factor 2,0.08294703297584602,18
15,co,Factor 2,4.508407384241791e-05,18
16,no2,Factor 2,0.7621308165615898,18
17,o3,Factor 2,0.25360790260313143,18
18,pm1,Factor 2,0.23389827198107596,18
19,pm25,Factor 2,0.2363921310511481,18
20,pm10,Factor 2,0.24588141914005052,18
21,co2,Residual,-1.3522856403103134e-05,18
22,co,Residual,4.2749709705525163e-07,18
23,no2,Residual,-0.0007340765304542085,18
24,o3,Residual,0.09171555536960296,18
25,pm1,Residual,0.05450260275499896,18
26,pm25,Residual,0.06291911494051616,18
27,pm10,Residual,0.057110584695435396,18
0,co2,Factor 0,0.020224565225482112,19
1,co,Factor 0,0.9997857339017595,19
2,no2,Factor 0,0.021707096856631265,19
3,o3,Factor 0,0.05266202879585534,19
4,pm1,Factor 0,0.027011817370279023,19
5,pm25,Factor 0,0.02404576443903417,19
6,pm10,Factor 0,0.020651793798850928,19
7,co2,Factor 1,0.90727808754046,19
8,co,Factor 1,0.00017918925789278152,19
9,no2,Factor 1,0.21919785057887664,19
10,o3,Factor 1,0.6171441466457622,19
11,pm1,Factor 1,0.7134627821753783,19
12,pm25,Factor 1,0.7009476491339409,19
13,pm10,Factor 1,0.6731732739178595,19
14,co2,Factor 2,0.07251104784677684,19
15,co,Factor 2,3.467323401544523e-05,19
16,no2,Factor 2,0.7598349189902741,19
17,o3,Factor 2,0.23781409936555695,19
18,pm1,Factor 2,0.20249525749555655,19
19,pm25,Factor 2,0.20502970510824559,19
20,pm10,Factor 2,0.23638335852880019,19
21,co2,Residual,-1.3700612718992033e-05,19
22,co,Residual,4.0360633235536625e-07,19
23,no2,Residual,-0.0007398664257820542,19
24,o3,Residual,0.09237972519282545,19
25,pm1,Residual,0.05703014295878617,19
26,pm25,Residual,0.06997688131877933,19
27,pm10,Residual,0.0697915737544893,19
0,co2,Factor 0,0.019449681769463028,20
1,co,Factor 0,0.9997761018764453,20
2,no2,Factor 0,0.020835762092231137,20
3,o3,Factor 0,0.04715522351913586,20
4,pm1,Factor 0,0.0250699409562133,20
5,pm25,Factor 0,0.022819059174587118,20
6,pm10,Factor 0,0.024103675474650116,20
7,co2,Factor 1,0.9049176753823388,20
8,co,Factor 1,0.00018648541789369587,20
9,no2,Factor 1,0.23058587908424863,20
10,o3,Factor 1,0.5956908720126598,20
11,pm1,Factor 1,0.7129106212626463,20
12,pm25,Factor 1,0.7082767320739717,20
13,pm10,Factor 1,0.7036678392375433,20
14,co2,Factor 2,0.0756461694301442,20
15,co,Factor 2,3.699888873177077e-05,20
16,no2,Factor 2,0.7493600652416076,20
17,o3,Factor 2,0.2632070269274247,20
18,pm1,Factor 2,0.20637088904139925,20
19,pm25,Factor 2,0.2047473515721712,20
20,pm10,Factor 2,0.21647546321415925,20
21,co2,Residual,-1.3526581946088356e-05,20
22,co,Residual,4.1381692927888736e-07,20
23,no2,Residual,-0.0007817064180872801,20
24,o3,Residual,0.09394687754077968,20
25,pm1,Residual,0.05564854873974123,20
26,pm25,Residual,0.06415685717927,20
27,pm10,Residual,0.05575302207364741,20
0,co2,Factor 0,0.016715580160510397,21
1,co,Factor 0,0.9996486477197178,21
2,no2,Factor 0,0.019882623068564847,21
3,o3,Factor 0,0.045711634486904885,21
4,pm1,Factor 0,0.0215906335003377,21
5,pm25,Factor 0,0.017201797378992092,21
6,pm10,Factor 0,0.020475441128226617,21
7,co2,Factor 1,0.8836538590982523,21
8,co,Factor 1,0.00027944519769632255,21
9,no2,Factor 1,0.2154885917465061,21
10,o3,Factor 1,0.5754888584663437,21
11,pm1,Factor 1,0.7035601593551519,21
12,pm25,Factor 1,0.6958938214812895,21
13,pm10,Factor 1,0.6824120287183855,21
14,co2,Factor 2,0.09964370488395886,21
15,co,Factor 2,7.143428736863512e-05,21
16,no2,Factor 2,0.7653313506109534,21
17,o3,Factor 2,0.28594364966407176,21
18,pm1,Factor 2,0.21935843893710666,21
19,pm25,Factor 2,0.22411046928063685,21
20,pm10,Factor 2,0.2379270427744413,21
21,co2,Residual,-1.3144142721577268e-05,21
22,co,Residual,4.7279521719900686e-07,21
23,no2,Residual,-0.0007025654260242042,21
24,o3,Residual,0.09285585738267965,21
25,pm1,Residual,0.05549076820740373,21
26,pm25,Residual,0.06279391185908156,21
27,pm10,Residual,0.05918548737894658,21
0,co2,Factor 0,0.013608165427887868,22
1,co,Factor 0,0.9995947543223236,22
2,no2,Factor 0,0.020143878120635048,22
3,o3,Factor 0,0.05477395041631966,22
4,pm1,Factor 0,0.018713955177704848,22
5,pm25,Factor 0,0.013540906695306871,22
6,pm10,Factor 0,0.020062326296294782,22
7,co2,Factor 1,0.8664899246051423,22
8,co,Factor 1,0.00030835425042395734,22
9,no2,Factor 1,0.23697089544090674,22
10,o3,Factor 1,0.5901064548186905,22
11,pm1,Factor 1,0.675072933755911,22
12,pm25,Factor 1,0.6644149442428036,22
